,continent,country,median_age,aged_65_older,aged_70_older,non_risky_age,risky_age,total_cases,total_deaths,deaths_ratio,hospital_beds_per_thousand,gdp_per_capita,HDI,Poverty %
0,Asia,Afghanistan,18.6,2.581,1.337,96.082,3.918000000000006,63819,2751,4.310628496215861,0.5,1803.987,0.511,0.0
1,Europe,Albania,38.0,13.188,8.643,78.169,21.831,132071,2436,1.844462448228605,2.89,11803.431,0.795,1.1
2,Africa,Algeria,29.1,6.211,3.857,89.932,10.068,125693,3388,2.695456389775087,1.9,13913.839,0.748,0.8
3,North America,Antigua and Barbuda,32.1,6.933,4.631,88.436,11.56399999999999,1251,42,3.357314148681055,3.8,21490.943,0.778,0.0
4,South America,Argentina,31.9,11.198,7.441,81.36099999999999,18.63900000000001,3371508,71771,2.128750695534461,5.0,18933.907,0.845,1.3
5,Asia,Armenia,35.7,11.232,7.571,81.197,18.803,221139,4346,1.965279756171458,4.2,8787.58,0.776,2.4
6,Oceania,Australia,37.9,15.504,10.129,74.36699999999999,25.63300000000001,29992,910,3.034142437983462,3.84,44648.71,0.944,0.5
7,Europe,Austria,44.4,19.202,13.748,67.05,32.95,638155,10499,1.645211586526784,7.37,45436.686,0.922,0.3
8,Asia,Azerbaijan,32.4,6.018,3.871,90.111,9.888999999999996,330701,4802,1.452066972884872,4.7,15847.419,0.756,0.0
9,North America,Bahamas,34.3,8.996,5.2,85.804,14.196,11278,221,1.959567299166519,2.9,27717.847,0.814,0.0
10,Asia,Bahrain,32.4,2.372,1.387,96.241,3.759,204524,765,0.374039232559504,2.0,43290.705,0.852,0.0
11,Asia,Bangladesh,27.5,5.098,3.262,91.64,8.36,782129,12211,1.561251404819409,0.8,3523.984,0.632,14.11
12,North America,Barbados,39.8,14.952,9.473,75.575,24.425,3972,47,1.183282980866062,5.8,16978.068,0.814,0.0
13,Europe,Belarus,40.3,14.799,9.788,75.413,24.587,378711,2721,0.7184898246948201,11.0,17167.967,0.823,0.0
14,Europe,Belgium,41.8,18.571,12.849,68.58,31.42,1034714,24749,2.391868670956419,5.64,42658.576,0.931,0.1
15,North America,Belize,25.0,3.853,2.279,93.86800000000001,6.131999999999991,12745,323,2.534327187132209,1.3,7824.362,0.716,0.0
16,Africa,Benin,18.8,3.244,1.942,94.81400000000001,5.185999999999993,8025,101,1.258566978193147,0.5,2064.236,0.545,49.8
17,Asia,Bhutan,28.6,4.885,2.977,92.13799999999999,7.862000000000009,1309,1,0.07639419404125286,1.7,8708.597,0.654,1.8
18,South America,Bolivia,25.4,6.704,4.393,88.903,11.09699999999999,334824,13566,4.051680883090818,1.1,6885.829,0.718,0.0
19,Europe,Bosnia and Herzegovina,42.5,16.569,10.711,72.72,27.28,202675,9070,4.475144936474652,3.5,11713.895,0.78,0.4
20,Africa,Botswana,25.8,3.941,2.242,93.817,6.183000000000007,50800,774,1.523622047244095,1.8,15807.374,0.735,16.4
21,South America,Brazil,33.5,8.552,5.06,86.388,13.61199999999999,15732836,439050,2.790660247141711,2.2,14103.452,0.765,4.7
22,Asia,Brunei,32.4,4.591,2.382,93.027,6.972999999999999,232,3,1.293103448275862,2.7,71809.251,0.838,0.0
23,Europe,Bulgaria,44.7,20.801,13.272,65.92699999999999,34.07300000000001,415326,17379,4.184423802025397,7.454,18563.307,0.816,1.6
24,Africa,Burkina Faso,17.6,2.409,1.358,96.23299999999999,3.76700000000001,13404,165,1.230975828111012,0.4,1703.102,0.452,43.1
25,Africa,Burundi,17.5,2.562,1.504,95.934,4.066000000000003,4353,6,0.1378359751895245,0.8,702.225,0.433,71.11
26,Asia,Cambodia,25.6,4.412,2.385,93.20299999999999,6.797000000000011,22889,156,0.6815500895626719,0.8,3645.07,0.594,0.0
27,Africa,Cameroon,18.8,3.165,1.919,94.916,5.084000000000003,77429,1189,1.535600356455592,1.3,3364.926,0.563,23.11
28,North America,Canada,41.4,16.984,10.797,72.219,27.78100000000001,1346083,24999,1.857166311438448,2.5,44017.591,0.929,0.8
29,Africa,Cape Verde,25.7,4.46,3.437,92.10300000000001,7.896999999999991,28410,252,0.8870116156283,2.1,6222.554,0.665,0.0
30,Africa,Central African Republic,18.3,3.655,2.251,94.094,5.906000000000006,7010,96,1.369472182596291,1.0,661.24,0.397,66.6
31,South America,Chile,35.4,11.087,6.938,81.975,18.02500000000001,1295862,27965,2.158022999362586,2.11,22767.037,0.851,0.3
32,Asia,China,38.7,10.641,5.929,83.42999999999999,16.57000000000001,102784,4846,4.714741594022416,4.34,15308.712,0.761,0.5
