country,total_cases,total_deaths,gdp_per_capita,deaths_ratio
Luxembourg,69239.0,808.0,94277.965,1.1669723710625515
Madagascar,40326.0,774.0,1416.44,1.9193572385061746
Malawi,34231.0,1153.0,1095.042,3.3682918991557362
Malaysia,479421.0,1994.0,26808.164,0.4159183681983059
Maldives,47421.0,105.0,15183.616,0.2214208894793446
Mali,14207.0,511.0,2014.306,3.5968184697684236
Malta,30486.0,417.0,36513.323,1.3678409761857901
Mauritania,18905.0,457.0,3597.633,2.417349907431896
Mauritius,1288.0,17.0,20292.745,1.3198757763975155
Mexico,2385512.0,220746.0,17336.469,9.253610964857858
Moldova,254075.0,6043.0,5189.972,2.378431565482633
Mongolia,50099.0,227.0,11840.846,0.453102856344438
Montenegro,98971.0,1564.0,16409.288,1.5802608845015207
Morocco,515420.0,9105.0,7485.013,1.766520507547243
Mozambique,70485.0,828.0,1136.103,1.1747180251117257
Myanmar,143131.0,3213.0,5591.597,2.2447967246787908
Namibia,51636.0,733.0,9541.808,1.4195522503679603
Nepal,472354.0,5411.0,2442.804,1.1455391507217045
Netherlands,1633356.0,17742.0,48472.545,1.0862298237493846
New Zealand,2658.0,26.0,36085.843,0.9781790820165538
Nicaragua,7193.0,185.0,5321.444,2.5719449464757407
Niger,5348.0,192.0,926.0,3.590127150336574
Nigeria,165778.0,2067.0,5338.454,1.2468481945734657
North Macedonia,154804.0,5232.0,13111.214,3.3797576290018347
Norway,119814.0,774.0,64800.057,0.6460013020181281
Oman,207109.0,2219.0,37960.709,1.0714165004900802
Pakistan,886184.0,19856.0,5034.708,2.2406182011862095
Palestine,304074.0,3437.0,4449.898,1.130316962318383
Panama,371684.0,6300.0,22267.037,1.694988215796214
Papua New Guinea,14206.0,136.0,3823.194,0.9573419681824581
Paraguay,318251.0,7802.0,8827.01,2.451524111471763
Peru,1893334.0,66471.0,12236.706,3.510791017327106
Philippines,1154388.0,19372.0,7599.188,1.6781186221616995
Poland,2856924.0,71920.0,27216.445,2.5173928322909536
Portugal,842767.0,17011.0,27936.896,2.0184701109559344
Qatar,213855.0,536.0,116935.6,0.25063711393233734
Romania,1072972.0,29662.0,23313.199,2.7644710206790113
Russia,4900995.0,114619.0,24765.954,2.3386883683823387
Rwanda,26344.0,346.0,1854.211,1.3133920437291224
Saint Lucia,4871.0,77.0,12951.839,1.5807842332169986
Saint Vincent and the Grenadines,1940.0,12.0,10727.146,0.6185567010309279
San Marino,5087.0,90.0,56861.47,1.7692156477295065
Sao Tome and Principe,2332.0,35.0,3052.714,1.5008576329331047
Saudi Arabia,435027.0,7188.0,49045.411,1.6523112358543264
Senegal,40896.0,1128.0,2470.58,2.7582159624413145
Serbia,707719.0,6710.0,14048.881,0.9481164134352759
