,continent,country,median_age,aged_65_older,aged_70_older,non_risky_age,risky_age,total_cases,total_deaths,deaths_ratio,hospital_beds_per_thousand,gdp_per_capita,HDI,Poverty %
62,Europe,Latvia,43.9,19.754,14.136,66.11,33.89,128688.0,2280.0,1.7717269675494216,5.57,25063.846,0.866,0.8
63,Asia,Lebanon,31.1,8.514,5.43,86.05600000000001,13.943999999999988,536554.0,7641.0,1.424087789858989,2.9,13367.565,0.744,0.0
64,Africa,Liberia,19.2,3.057,1.756,95.187,4.813000000000002,2131.0,85.0,3.988737681839512,0.8,752.788,0.48,40.12
65,Europe,Lithuania,43.5,19.002,13.778,67.22,32.78,266795.0,4126.0,1.546505744110647,6.56,29524.265,0.882,1.3
66,Europe,Luxembourg,39.7,14.312,9.842,75.846,24.153999999999996,69239.0,808.0,1.1669723710625515,4.51,94277.965,0.916,0.6
67,Africa,Madagascar,19.6,2.929,1.686,95.38499999999999,4.615000000000009,40326.0,774.0,1.9193572385061746,0.2,1416.44,0.528,77.9
68,Africa,Malawi,18.1,2.979,1.783,95.238,4.7620000000000005,34231.0,1153.0,3.3682918991557362,1.3,1095.042,0.483,70.6
69,Asia,Malaysia,29.9,6.293,3.407,90.3,9.700000000000003,479421.0,1994.0,0.4159183681983059,1.9,26808.164,0.81,0.0
70,Africa,Mali,16.4,2.519,1.486,95.99499999999999,4.00500000000001,14207.0,511.0,3.5968184697684236,0.1,2014.306,0.434,49.1
71,Europe,Malta,42.4,19.426,11.324,69.25,30.75,30486.0,417.0,1.3678409761857901,4.485,36513.323,0.895,0.5
72,Africa,Mauritius,37.4,10.945,5.884,83.171,16.828999999999994,1288.0,17.0,1.3198757763975155,3.4,20292.745,0.804,0.5
73,North America,Mexico,29.3,6.857,4.321,88.822,11.177999999999997,2385512.0,220746.0,9.253610964857858,1.38,17336.469,0.779,1.1
74,Asia,Mongolia,28.6,4.031,2.421,93.54799999999999,6.452000000000012,50099.0,227.0,0.453102856344438,7.0,11840.846,0.737,0.5
75,Europe,Montenegro,39.1,14.762,9.395,75.843,24.156999999999996,98971.0,1564.0,1.5802608845015207,3.861,16409.288,0.829,1.7
76,Africa,Morocco,29.6,6.769,4.209,89.02199999999999,10.978000000000009,515420.0,9105.0,1.766520507547243,1.1,7485.013,0.686,1.0
77,Africa,Mozambique,17.7,3.158,1.87,94.972,5.028000000000006,70485.0,828.0,1.1747180251117257,0.7,1136.103,0.456,62.12
78,Asia,Myanmar,29.1,5.732,3.12,91.148,8.852000000000004,143131.0,3213.0,2.2447967246787908,0.9,5591.597,0.583,2.3
79,Asia,Nepal,25.0,5.809,3.212,90.979,9.021,472354.0,5411.0,1.1455391507217045,0.3,2442.804,0.602,15.3
80,Europe,Netherlands,43.2,18.779,11.881,69.34,30.659999999999997,1633356.0,17742.0,1.0862298237493846,3.32,48472.545,0.944,0.5
81,North America,Nicaragua,27.3,5.445,3.519,91.036,8.963999999999999,7193.0,185.0,2.5719449464757407,0.9,5321.444,0.66,3.5
82,Africa,Niger,15.1,2.553,1.378,96.069,3.9309999999999974,5348.0,192.0,3.590127150336574,0.3,926.0,0.394,44.8
83,Europe,North Macedonia,39.1,13.26,8.16,78.58,21.42,154804.0,5232.0,3.3797576290018347,4.28,13111.214,0.774,4.7
84,Europe,Norway,39.7,16.821,10.813,72.366,27.634,119814.0,774.0,0.6460013020181281,3.6,64800.057,0.957,0.5
85,Asia,Pakistan,23.5,4.495,2.78,92.725,7.275000000000006,886184.0,19856.0,2.2406182011862095,0.6,5034.708,0.557,3.12
86,North America,Panama,29.7,7.918,5.03,87.05199999999999,12.948000000000008,371684.0,6300.0,1.694988215796214,2.3,22267.037,0.815,1.7
87,South America,Paraguay,26.5,6.378,3.833,89.789,10.210999999999999,318251.0,7802.0,2.451524111471763,1.3,8827.01,0.728,1.9
88,South America,Peru,29.1,7.151,4.455,88.394,11.605999999999995,1893334.0,66471.0,3.510791017327106,1.6,12236.706,0.777,2.9
89,Asia,Philippines,25.2,4.803,2.661,92.536,7.463999999999999,1154388.0,19372.0,1.6781186221616995,1.0,7599.188,0.718,6.4
90,Europe,Poland,41.8,16.763,10.202,73.035,26.965000000000003,2856924.0,71920.0,2.5173928322909536,6.62,27216.445,0.88,0.3
91,Europe,Portugal,46.2,21.502,14.924,63.574000000000005,36.425999999999995,842767.0,17011.0,2.0184701109559344,3.39,27936.896,0.864,0.4
92,Europe,Romania,43.0,17.85,11.69,70.46000000000001,29.539999999999992,1072972.0,29662.0,2.7644710206790113,6.892,23313.199,0.828,3.8
93,North America,Saint Lucia,34.9,9.721,6.405,83.874,16.126000000000005,4871.0,77.0,1.5807842332169986,1.3,12951.839,0.759,4.1
94,Africa,Sao Tome and Principe,18.7,2.886,2.162,94.952,5.048000000000002,2332.0,35.0,1.5008576329331047,2.9,3052.714,0.625,34.8
95,Africa,Seychelles,36.2,8.606,5.586,85.808,14.191999999999993,9764.0,35.0,0.35845964768537486,3.6,26382.287,0.796,1.4
96,Europe,Slovakia,41.2,15.07,9.167,75.763,24.236999999999995,387892.0,12248.0,3.1575799449331257,5.82,30155.152,0.86,1.7
97,Europe,Slovenia,44.5,19.062,12.93,68.00800000000001,31.99199999999999,249921.0,4333.0,1.7337478643251267,4.5,31400.84,0.917,0.3
98,Africa,South Africa,27.3,5.344,3.053,91.60300000000001,8.396999999999991,1617840.0,55340.0,3.420610196311131,2.32,12294.876,0.709,18.12
99,Europe,Spain,45.5,19.436,13.799,66.76499999999999,33.235000000000014,3619848.0,79502.0,2.1962800647983007,2.97,34272.36,0.904,0.7
100,Asia,Sri Lanka,34.1,10.069,5.331,84.6,15.400000000000006,147720.0,1015.0,0.6871107500676956,3.6,11669.077,0.782,0.8
101,Africa,Sudan,19.7,3.548,2.034,94.41799999999999,5.582000000000008,34889.0,2446.0,7.010805698071025,0.8,4466.507,0.51,12.1
