country,median_age,aged_65_older,aged_70_older,gdp_per_capita,deaths_ratio,non_risky_age,risky_age
Liberia,19.2,3.057,1.756,752.788,3.988737681839512,75.987,24.013000000000005
Libya,29.0,4.424,2.816,17881.509,1.7015361624508274,63.75999999999999,36.24000000000001
Lithuania,43.5,19.002,13.778,29524.265,1.546505744110647,23.720000000000006,76.28
Luxembourg,39.7,14.312,9.842,94277.965,1.1669723710625515,36.146,63.854
Madagascar,19.6,2.929,1.686,1416.44,1.9193572385061746,75.785,24.215000000000003
Malawi,18.1,2.979,1.783,1095.042,3.3682918991557362,77.138,22.861999999999995
Malaysia,29.9,6.293,3.407,26808.164,0.4159183681983059,60.39999999999999,39.60000000000001
Maldives,30.6,4.12,2.875,15183.616,0.2214208894793446,62.405,37.595
Mali,16.4,2.519,1.486,2014.306,3.5968184697684236,79.59499999999998,20.405000000000015
Malta,42.4,19.426,11.324,36513.323,1.3678409761857901,26.85000000000001,73.14999999999999
Mauritania,20.3,3.138,1.792,3597.633,2.417349907431896,74.77,25.230000000000004
Mauritius,37.4,10.945,5.884,20292.745,1.3198757763975155,45.771,54.229
Mexico,29.3,6.857,4.321,17336.469,9.253610964857858,59.522000000000006,40.477999999999994
Moldova,37.6,10.864,6.955,5189.972,2.378431565482633,44.581,55.419
Mongolia,28.6,4.031,2.421,11840.846,0.453102856344438,64.948,35.05200000000001
Montenegro,39.1,14.762,9.395,16409.288,1.5802608845015207,36.742999999999995,63.257000000000005
Morocco,29.6,6.769,4.209,7485.013,1.766520507547243,59.42200000000001,40.57799999999999
Mozambique,17.7,3.158,1.87,1136.103,1.1747180251117257,77.27199999999999,22.72800000000001
Myanmar,29.1,5.732,3.12,5591.597,2.2447967246787908,62.04800000000001,37.95199999999999
Namibia,22.0,3.552,2.085,9541.808,1.4195522503679603,72.363,27.637
Nepal,25.0,5.809,3.212,2442.804,1.1455391507217045,65.979,34.021
Netherlands,43.2,18.779,11.881,48472.545,1.0862298237493846,26.14,73.86
New Zealand,37.9,15.322,9.72,36085.843,0.9781790820165538,37.05800000000001,62.94199999999999
Nicaragua,27.3,5.445,3.519,5321.444,2.5719449464757407,63.736,36.264
Niger,15.1,2.553,1.378,926.0,3.590127150336574,80.96900000000001,19.03099999999999
Nigeria,18.1,2.751,1.447,5338.454,1.2468481945734657,77.702,22.298000000000002
North Macedonia,39.1,13.26,8.16,13111.214,3.3797576290018347,39.480000000000004,60.519999999999996
Norway,39.7,16.821,10.813,64800.057,0.6460013020181281,32.666,67.334
Oman,30.7,2.355,1.53,37960.709,1.0714165004900802,65.41499999999999,34.58500000000001
Pakistan,23.5,4.495,2.78,5034.708,2.2406182011862095,69.225,30.775000000000006
Palestine,20.4,3.043,1.726,4449.898,1.130316962318383,74.83099999999999,25.16900000000001
Panama,29.7,7.918,5.03,22267.037,1.694988215796214,57.352,42.648
Papua New Guinea,22.6,3.808,2.142,3823.194,0.9573419681824581,71.45000000000002,28.549999999999983
Paraguay,26.5,6.378,3.833,8827.01,2.451524111471763,63.289,36.711
Peru,29.1,7.151,4.455,12236.706,3.510791017327106,59.29400000000001,40.70599999999999
Philippines,25.2,4.803,2.661,7599.188,1.6781186221616995,67.336,32.664
Poland,41.8,16.763,10.202,27216.445,2.5173928322909536,31.235,68.765
Portugal,46.2,21.502,14.924,27936.896,2.0184701109559344,17.374000000000002,82.626
Qatar,31.9,1.307,0.617,116935.6,0.25063711393233734,66.17599999999999,33.82400000000001
Romania,43.0,17.85,11.69,23313.199,2.7644710206790113,27.46,72.53999999999999
Russia,39.6,14.178,9.393,24765.954,2.3386883683823387,36.82899999999999,63.17100000000001
Rwanda,20.3,2.974,1.642,1854.211,1.3133920437291224,75.084,24.915999999999997
Saint Lucia,34.9,9.721,6.405,12951.839,1.5807842332169986,48.97399999999999,51.02600000000001
Saint Vincent and the Grenadines,31.8,7.724,4.832,10727.146,0.6185567010309279,55.644,44.356
Sao Tome and Principe,18.7,2.886,2.162,3052.714,1.5008576329331047,76.252,23.748000000000005
Saudi Arabia,31.9,3.295,1.845,49045.411,1.6523112358543264,62.959999999999994,37.040000000000006
Senegal,18.7,3.008,1.796,2470.58,2.7582159624413145,76.496,23.504000000000005
Seychelles,36.2,8.606,5.586,26382.287,0.35845964768537486,49.608,50.392
Sierra Leone,19.1,2.538,1.285,1390.3,1.92354516678841,77.07700000000001,22.922999999999988
Singapore,42.4,12.922,7.049,85535.383,0.050283044881672644,37.629,62.371
Slovakia,41.2,15.07,9.167,30155.152,3.1575799449331257,34.562999999999995,65.43700000000001
Slovenia,44.5,19.062,12.93,31400.84,1.7337478643251267,23.508000000000003,76.49199999999999
South Africa,27.3,5.344,3.053,12294.876,3.420610196311131,64.30300000000001,35.69699999999999
South Korea,43.4,13.914,8.622,35938.374,1.4325209221478823,34.064,65.936
South Sudan,19.2,3.441,2.032,1569.888,1.079609463011641,75.327,24.673000000000002
Spain,45.5,19.436,13.799,34272.36,2.1962800647983007,21.265,78.735
Sri Lanka,34.1,10.069,5.331,11669.077,0.6871107500676956,50.5,49.5
Sudan,19.7,3.548,2.034,4466.507,7.010805698071025,74.71799999999999,25.28200000000001
Suriname,29.6,6.933,4.229,13767.119,1.942698555219982,59.23800000000001,40.76199999999999
Sweden,41.0,19.985,13.433,46949.283,1.3657160483334176,25.582,74.418
Switzerland,43.1,18.436,12.644,57410.166,1.5733099209833186,25.82,74.18
Tajikistan,23.3,3.466,2.155,2896.913,0.6762849413886384,71.07900000000001,28.920999999999992
Tanzania,17.7,3.108,1.874,2683.304,4.12573673870334,77.318,22.682000000000002
Thailand,40.1,11.373,6.89,16277.671,0.5715292149178812,41.637,58.363
Timor,18.0,3.556,1.897,6570.102,0.2098635886673662,76.547,23.453000000000003
Togo,19.4,2.839,1.525,1429.813,0.9408399819358723,76.23599999999999,23.76400000000001
Trinidad and Tobago,36.2,10.014,5.819,28763.071,1.8483965014577262,47.967,52.033
Tunisia,32.7,8.001,5.075,10849.297,3.6438294452832025,54.224,45.776
Turkey,31.6,8.153,5.061,25129.341,0.8791931487298824,55.18600000000001,44.81399999999999
Uganda,16.4,2.168,1.308,1697.707,0.8129513160959702,80.12399999999998,19.87600000000002
Ukraine,41.4,16.462,11.133,7894.393,2.2746177469352995,31.005000000000006,68.99499999999999
United Arab Emirates,34.0,1.144,0.526,67293.483,0.29835186565600047,64.33,35.67
United Kingdom,40.8,18.517,12.527,39753.244,2.8633915635877334,28.156000000000006,71.844
United States,38.3,15.413,9.732,54225.446,1.7795954466741568,36.55500000000001,63.44499999999999
Uruguay,35.6,14.655,10.361,20551.409,1.454317836326242,39.384,60.616
Uzbekistan,28.2,4.469,2.873,6253.104,0.6922981827172704,64.458,35.542
Vanuatu,23.1,4.394,2.62,2921.909,25.0,69.886,30.114000000000004
Venezuela,29.0,6.614,3.915,16745.022,1.1157934403477894,60.471,39.529
Vietnam,32.6,7.15,4.718,6171.884,0.8200354609929078,55.53200000000001,44.46799999999999
World,30.9,8.696,5.355,15469.207,2.072885880025313,55.04899999999999,44.95100000000001
Yemen,20.3,2.922,1.583,1479.147,19.69328879441239,75.19500000000001,24.804999999999993
Zambia,17.7,2.48,1.542,3689.251,1.3651102464332037,78.27799999999999,21.72200000000001
Zimbabwe,19.6,2.822,1.882,1899.775,4.10156756056484,75.696,24.304000000000002
