Series Name;Series Code;Country Name;Country Code;2018 [YR2018];2019 [YR2019]
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Angola;AGO;1,01353E+11;88815697793
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Antigua y Barbuda;ATG;1605351852;1661962963
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Argentina;ARG;5,17627E+11;4,45445E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Armenia;ARM;12457941907;13672802158
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Aruba;ABW;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Australia;AUS;1,43288E+12;1,39657E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Austria;AUT;4,55095E+11;4,45075E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Azerbaiyán;AZE;47112941176;48047647059
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Bahamas;BHS;13022100000;13578800000
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Bahrein;BHR;37652500000;38574069149
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Bangladesh;BGD;2,74039E+11;3,02571E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Barbados;BRB;5086500000;5209000000
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Belarús;BLR;60031262269;63080457023
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Bélgica;BEL;5,43734E+11;5,33097E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Belice;BLZ;1871200000;1879613600
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Benin;BEN;14250985959;14390709095
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Bermudas;BMU;7224329000;7484113000
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Bhután;BTN;2446866405;2530547158
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Bolivia;BOL;40287647930;40895322844
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Bosnia y Herzegovina;BIH;20183510561;20164193807
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Botswana;BWA;18663265549;18340480936
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Brasil;BRA;1,88548E+12;1,83976E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Islas Vírgenes Británicas;VGB;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Brunei Darussalam;BRN;13567351175;13469422959
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Bulgaria;BGR;66230155100;68558815112
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Burkina Faso;BFA;16059910871;15990803570
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Burundi;BDI;3036931818;3012334882
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Cabo Verde;CPV;1966983317;1981845740
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Camboya;KHM;24571753583;27089389787
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Camerún;CMR;38694156863;39007354359
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Canadá;CAN;1,71626E+12;1,73643E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Islas Caimán;CYM;5517361238;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;República Centroafricana;CAF;2220978978;2220307369
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Chad;TCD;11239167048;11314951343
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Islas del Canal;CHI;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Chile;CHL;2,98258E+11;2,82318E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;China;CHN;1,38948E+13;1,42799E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Colombia;COL;3,33569E+11;3,23616E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Comoras;COM;1178530758;1165839927
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Congo, República Democrática del;COD;46831342213;50400746171
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Congo, República del;COG;13518403447;12267392147
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Costa Rica;CRI;60553901420;61801385049
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Côte d'Ivoire;CIV;58011466451;58539424930
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Croacia;HRV;61375222347;60752588976
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Cuba;CUB;1,00023E+11;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Curacao;CUW;3127908045;3101787709
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Chipre;CYP;25309818139;24948935408
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;República Checa;CZE;2,48909E+11;2,50681E+11
